"Hugo_Symbol","M1","M2","pval","or","ci.up","ci.low","adjPval"
"KCNH5",62,10,2.43458319844334e-06,4.53594241717612,10.2232347275586,2.22501290552471,0.00938804860373546
"FREM2",53,7,2.9519442015221e-06,5.42436211881555,14.4960122375455,2.3796111591998,0.00938804860373546
"TENM3",74,15,2.96464692749541e-06,3.6967036666432,7.19660250180399,2.01278140503745,0.00938804860373546
"EYA2",25,0,6.03009855129695e-06,Inf,Inf,4.129524510848,0.0143214840593302
"ATP7B",29,1,8.58611710561367e-06,19.5244436850835,801.754732161982,3.17602836337149,0.016313622500666
"RUNX1T1",46,6,1.39604026755567e-05,5.36722310924633,15.7267871065461,2.21876004125173,0.0221039709029647
"ZNF831",76,18,1.66555411389511e-05,3.13526512139375,5.80085762976056,1.77187407206932,0.0226039486885765
"MAGI1",39,4,2.13333712155612e-05,6.71222927158338,26.3275133308806,2.35890254632909,0.0229709659055277
"EVPL",48,7,2.29769387972272e-05,4.8123498032586,12.9145950334749,2.09764527695258,0.0229709659055277
"BANK1",31,2,2.41799641110818e-05,10.4603881417552,91.3399609325974,2.60423510461548,0.0229709659055277
"KIDINS220",21,0,3.93128180216049e-05,Inf,Inf,3.36979358084154,0.0305262394707618
"CYP2C19",41,5,3.97389389869083e-05,5.65840808943571,18.7180042443757,2.17566489588632,0.0305262394707618
"PCDH11Y",22,0,4.17727487494636e-05,Inf,Inf,3.5574983073833,0.0305262394707618
"CCDC73",26,1,4.7117763750913e-05,17.3079226318339,713.674037125612,2.79064057454381,0.0319727682595481
"COL3A1",73,18,6.06978620695084e-05,2.97042075208782,5.50550051511377,1.67515559151306,0.0340420701345688
"CNGB3",42,6,6.44674679339382e-05,4.82246550547829,14.1911420503483,1.9805481984075,0.0340420701345688
"MPP7",42,6,6.44674679339382e-05,4.82246550547829,14.1911420503483,1.9805481984075,0.0340420701345688
"SHANK2",39,5,6.45007644654988e-05,5.34005255221571,17.7097362004833,2.04559147373656,0.0340420701345688
"CFTR",57,12,8.72600066774654e-05,3.36177339886531,7.10736220606938,1.71643334841814,0.040845819023857
"KLHL1",32,3,9.02907578422102e-05,7.18554397151065,37.2376462040784,2.19547035260636,0.040845819023857
"NELL1",32,3,9.02907578422102e-05,7.18554397151065,37.2376462040784,2.19547035260636,0.040845819023857
"ERICH3",84,24,0.00011085917638451,2.59890126625941,4.48694463850906,1.54991193314218,0.0478710079842202
"LMO7",28,2,0.000125868896678891,9.34144899595265,82.0862184780836,2.30542990003039,0.0487552353039822
"MAN1A1",28,2,0.000125868896678891,9.34144899595265,82.0862184780836,2.30542990003039,0.0487552353039822
"NRXN3",48,9,0.000137926869606662,3.70030365691308,8.81402254004315,1.73583698199344,0.0487552353039822
"SVEP1",70,18,0.000142274915875961,2.81001762685407,5.21792711939396,1.58094022496963,0.0487552353039822
"PDPR",0,9,0.000143713146083124,0,0.299640698177122,0,0.0487552353039822
"MYO3A",46,8,0.000148807644245982,3.97993337496251,10.0166831088421,1.80049990005754,0.0487552353039822
"DNAH17",65,16,0.000148831770927946,2.90583422000421,5.58650948160164,1.59172047254652,0.0487552353039822
"LY9",24,1,0.000159121504067393,15.857818199238,656.011308380644,2.53845935142841,0.0503884762880078
"ADAMTSL3",37,5,0.000175928364262157,5.02668968527911,16.7153810190439,1.9173773505563,0.0522287331403279
"KIAA0319",37,5,0.000175928364262157,5.02668968527911,16.7153810190439,1.9173773505563,0.0522287331403279
"CACNA1E",75,21,0.000237799145483724,2.5911351295646,4.62319875349224,1.50368998951428,0.0616862963761829
"PTPRC",44,8,0.000240217673316567,3.77636056390489,9.52422706706915,1.7026656507277,0.0616862963761829
"NLGN4Y",22,1,0.000262408881173894,14.4292042261902,599.174127844773,2.29030257729383,0.0616862963761829
"SEC16A",22,1,0.000262408881173894,14.4292042261902,599.174127844773,2.29030257729383,0.0616862963761829
"ZBBX",41,7,0.00026548467098382,3.9964934722638,10.8078619509293,1.72167908613193,0.0616862963761829
"ITK",30,3,0.000267656817581847,6.68564240573763,34.7395382337287,2.03091363922063,0.0616862963761829
"FOLH1",29,3,0.000269849354490912,6.43836963636172,33.559341625541,1.94977482159358,0.0616862963761829
"LGSN",29,3,0.000269849354490912,6.43836963636172,33.559341625541,1.94977482159358,0.0616862963761829
"SLC5A7",29,3,0.000269849354490912,6.43836963636172,33.559341625541,1.94977482159358,0.0616862963761829
"GPRASP1",2,12,0.000283465284169539,0.0961928520709527,0.439832596478536,0.0103301356125487,0.0616862963761829
"TRERF1",39,6,0.000284461705804119,4.42519957349128,13.07164631863,1.80676639744644,0.0616862963761829
"ACSM2B",49,10,0.000285704951637058,3.39385869186228,7.73393276009564,1.63970729806012,0.0616862963761829
"CNGA1",25,2,0.000372051795012513,8.24766909308746,72.5789520172067,2.01368593616875,0.0772135884614032
"CTNND2",43,8,0.000373876323076268,3.67580025442639,9.28341973521708,1.65436811001937,0.0772135884614032
"FCRL5",56,13,0.000411443788515808,3.01850601175564,6.21783428871476,1.56745973904622,0.0807398504654581
"LPA",60,15,0.000411846222682564,2.81672354355862,5.53447008814216,1.51524648096894,0.0807398504654581
"OBSCN",75,22,0.000416758386338824,2.45772571819338,4.34100370099189,1.43730413434147,0.0807398504654581
"GABRP",17,0,0.000433445513025091,Inf,Inf,2.63309058037463,0.0807398504654581
"HEPACAM2",17,0,0.000433445513025091,Inf,Inf,2.63309058037463,0.0807398504654581
"RGS22",37,6,0.000449785433626036,4.16554708109508,12.3402370877238,1.6932749488476,0.081884306952952
"TECPR2",21,1,0.000456828238790153,13.7228079749181,571.059738421806,2.16757977464344,0.081884306952952
"PLXNA4",52,12,0.000497011111220277,3.00330874365203,6.37909318645839,1.52381380494887,0.0874371399369006
"SCN11A",87,28,0.00057224988480137,2.28084975583967,3.81964005063799,1.39341196271126,0.095087834639769
"CUBN",42,8,0.000584891981337458,3.57604422097735,9.04389781726622,1.60638599768224,0.095087834639769
"COL14A1",50,11,0.000587247135696121,3.14284378764089,6.89787565512762,1.55737875745682,0.095087834639769
"PCDH15",88,29,0.000645490391523868,2.22366656267206,3.69921471734387,1.36568919395811,0.095087834639769
"TNN",47,10,0.000690730449280802,3.22891066358423,7.37455379150255,1.55506893959428,0.095087834639769
"CRB1",65,18,0.00071017333403457,2.55167890332996,4.75475975954566,1.42948876128865,0.095087834639769
"KMT2B",36,6,0.000713087667865655,4.03724162616864,11.9810054707281,1.63709655266157,0.095087834639769
"SLC12A5",36,6,0.000713087667865655,4.03724162616864,11.9810054707281,1.63709655266157,0.095087834639769
"GIMAP7",27,3,0.000726211093186237,5.9494203895758,31.1120375535797,1.78911419338418,0.095087834639769
"SLCO1A2",27,3,0.000726211093186237,5.9494203895758,31.1120375535797,1.78911419338418,0.095087834639769
"IGSF10",51,12,0.000743867670839126,2.93350494736064,6.237201094127,1.48615519880478,0.095087834639769
"ADAMTS2",33,5,0.000753769681204338,4.41447761674086,14.772708184325,1.66709285592844,0.095087834639769
"SIM1",33,5,0.000753769681204338,4.41447761674086,14.772708184325,1.66709285592844,0.095087834639769
"CYP4F12",30,4,0.000763223746344214,4.98690832855651,19.8163670350809,1.713874694874,0.095087834639769
"LRTM1",30,4,0.000763223746344214,4.98690832855651,19.8163670350809,1.713874694874,0.095087834639769
"APBA1",15,0,0.000794110411764978,Inf,Inf,2.27275409863701,0.095087834639769
"FASTKD5",15,0,0.000794110411764978,Inf,Inf,2.27275409863701,0.095087834639769
"SIGLEC14",15,0,0.000794110411764978,Inf,Inf,2.27275409863701,0.095087834639769
"TTC6",15,0,0.000794110411764978,Inf,Inf,2.27275409863701,0.095087834639769
"IRF6",20,1,0.000806934646827585,13.0216083254417,543.145337676815,2.04561557288358,0.095087834639769
"KRT34",20,1,0.000806934646827585,13.0216083254417,543.145337676815,2.04561557288358,0.095087834639769
"OR51T1",20,1,0.000806934646827585,13.0216083254417,543.145337676815,2.04561557288358,0.095087834639769
"PTPN13",20,1,0.000806934646827585,13.0216083254417,543.145337676815,2.04561557288358,0.095087834639769
"TNFRSF11B",20,1,0.000806934646827585,13.0216083254417,543.145337676815,2.04561557288358,0.095087834639769
"VIT",20,1,0.000806934646827585,13.0216083254417,543.145337676815,2.04561557288358,0.095087834639769
"BTN1A1",16,0,0.000830767397379034,Inf,Inf,2.45230609252801,0.095087834639769
"C6orf15",16,0,0.000830767397379034,Inf,Inf,2.45230609252801,0.095087834639769
"DUSP22",16,0,0.000830767397379034,Inf,Inf,2.45230609252801,0.095087834639769
"SEC14L3",16,0,0.000830767397379034,Inf,Inf,2.45230609252801,0.095087834639769
