"gender","Hugo_Symbol","n_patients_mut","n_total","freq"
"female","TTN",124,178,0.696629213483146
"female","MUC16",105,178,0.589887640449438
"female","BRAF",90,178,0.50561797752809
"female","DNAH5",75,178,0.421348314606742
"female","PCLO",64,178,0.359550561797753
"female","DSCAM",56,178,0.314606741573034
"female","DNAH9",52,178,0.292134831460674
"female","LRP1B",52,178,0.292134831460674
"female","XIRP2",52,178,0.292134831460674
"female","FAT4",48,178,0.269662921348315
"male","TTN",213,289,0.737024221453287
"male","MUC16",206,289,0.71280276816609
"male","DNAH5",156,289,0.539792387543253
"male","BRAF",145,289,0.501730103806228
"male","PCLO",145,289,0.501730103806228
"male","LRP1B",128,289,0.442906574394464
"male","ADGRV1",118,289,0.408304498269896
"male","ANK3",113,289,0.391003460207612
"male","CSMD1",109,289,0.377162629757785
"male","DNAH7",109,289,0.377162629757785
"male","RP1",109,289,0.377162629757785
